file,model,nb_tokens,nb_tokens_diff
./results/codegemma_7b/VerificationMetadataExample_folder.txt,codegemma_7b,71,37
./results/codegemma_7b/VerificationTest_cluster.txt,codegemma_7b,216,136
./results/codegemma_7b/VerificationTest_folder.txt,codegemma_7b,99,19
./results/codegemma_7b/ViewTest_cluster.txt,codegemma_7b,98,7
./results/codegemma_7b/ViewTest_folder.txt,codegemma_7b,213,122
./results/codegemma_7b/Wheel Package - Updated_cluster.txt,codegemma_7b,249,29
./results/codegemma_7b/Wheel Package - Updated_folder.txt,codegemma_7b,211,-9
./results/codegemma_7b/Wheel Package_cluster.txt,codegemma_7b,297,77
./results/codegemma_7b/Wheel Package_folder.txt,codegemma_7b,216,-4
./results/gemma_7b/AHFSequences_cluster.txt,gemma_7b,93,-315
./results/gemma_7b/AHFSequences_folder.txt,gemma_7b,162,-246
./results/gemma_7b/AllocationTest_cluster.txt,gemma_7b,29,-59
./results/gemma_7b/AllocationTest_folder.txt,gemma_7b,52,-36
./results/gemma_7b/AnalysisAnnotation_cluster.txt,gemma_7b,12,-135
./results/gemma_7b/AnalysisAnnotation_folder.txt,gemma_7b,11,-136
./results/gemma_7b/Camera_cluster.txt,gemma_7b,45,20
./results/gemma_7b/Camera_folder.txt,gemma_7b,23,-2
./results/gemma_7b/DependencyTest_cluster.txt,gemma_7b,70,24
./results/gemma_7b/DependencyTest_folder.txt,gemma_7b,34,-12
./results/gemma_7b/EnumerationTest_cluster.txt,gemma_7b,69,-97
./results/gemma_7b/EnumerationTest_folder.txt,gemma_7b,86,-80
./results/gemma_7b/Flashlight Example_cluster.txt,gemma_7b,90,-52
./results/gemma_7b/Flashlight Example_folder.txt,gemma_7b,131,-11
./results/gemma_7b/PacketUsage_cluster.txt,gemma_7b,56,8
./results/gemma_7b/PacketUsage_folder.txt,gemma_7b,139,91
./results/gemma_7b/PartTest_cluster.txt,gemma_7b,114,-13
./results/gemma_7b/PartTest_folder.txt,gemma_7b,72,-55
./results/gemma_7b/ServerSequenceOutsideRealization-3_cluster.txt,gemma_7b,133,-359
./results/gemma_7b/ServerSequenceOutsideRealization-3_folder.txt,gemma_7b,102,-390
./results/gemma_7b/TextualRepresentationTest_cluster.txt,gemma_7b,29,-24
./results/gemma_7b/TextualRepresentationTest_folder.txt,gemma_7b,33,-20
./results/gemma_7b/TradeStudyTest_cluster.txt,gemma_7b,86,36
./results/gemma_7b/TradeStudyTest_folder.txt,gemma_7b,76,26
./results/gemma_7b/Vehicle Analysis Demo_cluster.txt,gemma_7b,258,-700
./results/gemma_7b/Vehicle Analysis Demo_folder.txt,gemma_7b,218,-740
./results/gemma_7b/Vehicle Decomposition - Updated_cluster.txt,gemma_7b,149,-32
./results/gemma_7b/Vehicle Decomposition - Updated_folder.txt,gemma_7b,148,-33
./results/gemma_7b/VehicleDefinitions_cluster.txt,gemma_7b,93,-46
./results/gemma_7b/VehicleDefinitions_folder.txt,gemma_7b,71,-68
./results/gpt-3.5-turbo/AHFProfileLib_cluster.txt,gpt-3.5-turbo,72,-295
./results/gpt-3.5-turbo/AHFProfileLib_folder.txt,gpt-3.5-turbo,101,-266
./results/gpt-3.5-turbo/AliasTest_cluster.txt,gpt-3.5-turbo,77,20
./results/gpt-3.5-turbo/AliasTest_folder.txt,gpt-3.5-turbo,57,0
./results/gpt-3.5-turbo/AssignmentTest_cluster.txt,gpt-3.5-turbo,99,-26
./results/gpt-3.5-turbo/AssignmentTest_folder.txt,gpt-3.5-turbo,95,-30
./results/gpt-3.5-turbo/Dynamics_cluster.txt,gpt-3.5-turbo,52,-332
./results/gpt-3.5-turbo/Dynamics_folder.txt,gpt-3.5-turbo,86,-298
./results/gpt-3.5-turbo/ExternalShapeRefExample_cluster.txt,gpt-3.5-turbo,48,-34
./results/gpt-3.5-turbo/ExternalShapeRefExample_folder.txt,gpt-3.5-turbo,45,-37
./results/gpt-3.5-turbo/HSUVRequirements_cluster.txt,gpt-3.5-turbo,50,-71
./results/gpt-3.5-turbo/HSUVRequirements_folder.txt,gpt-3.5-turbo,67,-54
./results/gpt-3.5-turbo/Packets_cluster.txt,gpt-3.5-turbo,46,-75
./results/gpt-3.5-turbo/Packets_folder.txt,gpt-3.5-turbo,68,-53
./results/gpt-3.5-turbo/PictureTaking_cluster.txt,gpt-3.5-turbo,24,-13
./results/gpt-3.5-turbo/PictureTaking_folder.txt,gpt-3.5-turbo,22,-15
./results/gpt-3.5-turbo/RiskMetadataExample_cluster.txt,gpt-3.5-turbo,41,4
./results/gpt-3.5-turbo/RiskMetadataExample_folder.txt,gpt-3.5-turbo,35,-2
./results/gpt-3.5-turbo/RoomModel_cluster.txt,gpt-3.5-turbo,105,-95
./results/gpt-3.5-turbo/RoomModel_folder.txt,gpt-3.5-turbo,59,-141
./results/gpt-3.5-turbo/ServerSequenceModelOutside_cluster.txt,gpt-3.5-turbo,91,14
./results/gpt-3.5-turbo/ServerSequenceModelOutside_folder.txt,gpt-3.5-turbo,59,-18
./results/gpt-3.5-turbo/ServerSequenceModel_cluster.txt,gpt-3.5-turbo,61,-39
./results/gpt-3.5-turbo/ServerSequenceModel_folder.txt,gpt-3.5-turbo,113,13
./results/gpt-3.5-turbo/TradeStudyTest_cluster.txt,gpt-3.5-turbo,56,6
./results/gpt-3.5-turbo/TradeStudyTest_folder.txt,gpt-3.5-turbo,73,23
./results/gpt-3.5-turbo/VehicleDefinitions_cluster.txt,gpt-3.5-turbo,52,-87
./results/gpt-3.5-turbo/VehicleDefinitions_folder.txt,gpt-3.5-turbo,36,-103
./results/gpt-3.5-turbo/VehicleIndividuals_cluster.txt,gpt-3.5-turbo,71,-268
./results/gpt-3.5-turbo/VehicleIndividuals_folder.txt,gpt-3.5-turbo,65,-274
./results/gpt-4-turbo/AHFProfileLib_cluster.txt,gpt-4-turbo,130,-237
./results/gpt-4-turbo/AHFProfileLib_folder.txt,gpt-4-turbo,221,-146
./results/gpt-4-turbo/AliasTest_cluster.txt,gpt-4-turbo,86,29
./results/gpt-4-turbo/AliasTest_folder.txt,gpt-4-turbo,49,-8
./results/gpt-4-turbo/AllocationTest_cluster.txt,gpt-4-turbo,134,46
./results/gpt-4-turbo/AllocationTest_folder.txt,gpt-4-turbo,119,31
./results/gpt-4-turbo/AssignmentTest_cluster.txt,gpt-4-turbo,93,-32
./results/gpt-4-turbo/AssignmentTest_folder.txt,gpt-4-turbo,89,-36
./results/gpt-4-turbo/Dynamics_cluster.txt,gpt-4-turbo,142,-242
./results/gpt-4-turbo/Dynamics_folder.txt,gpt-4-turbo,248,-136
./results/gpt-4-turbo/ExternalShapeRefExample_cluster.txt,gpt-4-turbo,43,-39
./results/gpt-4-turbo/ExternalShapeRefExample_folder.txt,gpt-4-turbo,34,-48
./results/gpt-4-turbo/HSUVRequirements_cluster.txt,gpt-4-turbo,254,133
./results/gpt-4-turbo/HSUVRequirements_folder.txt,gpt-4-turbo,183,62
./results/gpt-4-turbo/Packets_cluster.txt,gpt-4-turbo,91,-30
./results/gpt-4-turbo/Packets_folder.txt,gpt-4-turbo,110,-11
./results/gpt-4-turbo/PacketUsage_cluster.txt,gpt-4-turbo,46,-2
./results/gpt-4-turbo/PacketUsage_folder.txt,gpt-4-turbo,50,2
./results/gpt-4-turbo/PictureTaking_cluster.txt,gpt-4-turbo,42,5
./results/gpt-4-turbo/PictureTaking_folder.txt,gpt-4-turbo,38,1
./results/gpt-4-turbo/RiskMetadataExample_cluster.txt,gpt-4-turbo,68,31
./results/gpt-4-turbo/RiskMetadataExample_folder.txt,gpt-4-turbo,59,22
./results/gpt-4-turbo/RoomModel_cluster.txt,gpt-4-turbo,129,-71
./results/gpt-4-turbo/RoomModel_folder.txt,gpt-4-turbo,108,-92
./results/gpt-4-turbo/ServerSequenceModelOutside_cluster.txt,gpt-4-turbo,126,49
./results/gpt-4-turbo/ServerSequenceModelOutside_folder.txt,gpt-4-turbo,130,53
./results/gpt-4-turbo/ServerSequenceModel_cluster.txt,gpt-4-turbo,189,89
./results/gpt-4-turbo/ServerSequenceModel_folder.txt,gpt-4-turbo,175,75
./results/gpt-4-turbo/TradeStudyTest_cluster.txt,gpt-4-turbo,106,56
./results/gpt-4-turbo/TradeStudyTest_folder.txt,gpt-4-turbo,129,79
./results/gpt-4-turbo/Vehicle Analysis Demo_cluster.txt,gpt-4-turbo,351,-607
./results/gpt-4-turbo/Vehicle Analysis Demo_folder.txt,gpt-4-turbo,350,-608
./results/gpt-4-turbo/Vehicle Decomposition - Updated_cluster.txt,gpt-4-turbo,191,10
./results/gpt-4-turbo/Vehicle Decomposition - Updated_folder.txt,gpt-4-turbo,234,53
./results/gpt-4-turbo/VehicleDefinitions_cluster.txt,gpt-4-turbo,138,-1
./results/gpt-4-turbo/VehicleDefinitions_folder.txt,gpt-4-turbo,130,-9
./results/gpt-4-turbo/VehicleIndividuals_cluster.txt,gpt-4-turbo,89,-250
./results/gpt-4-turbo/VehicleIndividuals_folder.txt,gpt-4-turbo,158,-181
./results/llama3.1_70b/AHFCoreLib_cluster.txt,llama3.1_70b,291,99
./results/llama3.1_70b/AHFCoreLib_folder.txt,llama3.1_70b,123,-69
./results/llama3.1_70b/AHFNorwayTopics_cluster.txt,llama3.1_70b,480,-51
./results/llama3.1_70b/AnalysisAnnotation_cluster.txt,llama3.1_70b,198,51
./results/llama3.1_70b/AnalysisAnnotation_folder.txt,llama3.1_70b,318,171
./results/llama3.1_70b/Dynamics_cluster.txt,llama3.1_70b,178,-206
./results/llama3.1_70b/Dynamics_folder.txt,llama3.1_70b,203,-181
./results/llama3.1_70b/Turbojet Stage Analysis_cluster.txt,llama3.1_70b,365,-144
./results/llama3.1_70b/Turbojet Stage Analysis_folder.txt,llama3.1_70b,241,-268
./results/llama3.1_70b/Vehicle Analysis Demo_cluster.txt,llama3.1_70b,318,-640
./results/llama3.1_70b/Vehicle Analysis Demo_folder.txt,llama3.1_70b,335,-623
./results/mistral_7b/AHFSequences_cluster.txt,mistral_7b,243,-165
./results/mistral_7b/AHFSequences_folder.txt,mistral_7b,213,-195
./results/mistral_7b/AllocationTest_cluster.txt,mistral_7b,97,9
./results/mistral_7b/AllocationTest_folder.txt,mistral_7b,284,196
./results/mistral_7b/AnalysisAnnotation_cluster.txt,mistral_7b,272,125
./results/mistral_7b/AnalysisAnnotation_folder.txt,mistral_7b,171,24
./results/mistral_7b/Camera_cluster.txt,mistral_7b,52,27
./results/mistral_7b/Camera_folder.txt,mistral_7b,100,75
./results/mistral_7b/DependencyTest_cluster.txt,mistral_7b,85,39
./results/mistral_7b/DependencyTest_folder.txt,mistral_7b,91,45
./results/mistral_7b/EnumerationTest_cluster.txt,mistral_7b,51,-115
./results/mistral_7b/EnumerationTest_folder.txt,mistral_7b,144,-22
./results/mistral_7b/Flashlight Example_cluster.txt,mistral_7b,211,69
./results/mistral_7b/Flashlight Example_folder.txt,mistral_7b,194,52
./results/mistral_7b/PacketUsage_cluster.txt,mistral_7b,51,3
./results/mistral_7b/PacketUsage_folder.txt,mistral_7b,109,61
./results/mistral_7b/PartTest_cluster.txt,mistral_7b,74,-53
./results/mistral_7b/PartTest_folder.txt,mistral_7b,111,-16
./results/mistral_7b/ServerSequenceOutsideRealization-3_cluster.txt,mistral_7b,364,-128
./results/mistral_7b/ServerSequenceOutsideRealization-3_folder.txt,mistral_7b,185,-307
./results/mistral_7b/TextualRepresentationTest_cluster.txt,mistral_7b,33,-20
./results/mistral_7b/TextualRepresentationTest_folder.txt,mistral_7b,60,7
./results/mistral_7b/TradeStudyTest_cluster.txt,mistral_7b,135,85
./results/mistral_7b/TradeStudyTest_folder.txt,mistral_7b,119,69
./results/mistral_7b/Vehicle Analysis Demo_cluster.txt,mistral_7b,277,-681
./results/mistral_7b/Vehicle Analysis Demo_folder.txt,mistral_7b,221,-737
./results/mistral_7b/Vehicle Decomposition - Updated_cluster.txt,mistral_7b,157,-24
./results/mistral_7b/Vehicle Decomposition - Updated_folder.txt,mistral_7b,235,54
./results/mistral_7b/VehicleDefinitions_cluster.txt,mistral_7b,179,40
./results/mistral_7b/VehicleDefinitions_folder.txt,mistral_7b,385,246
./results/qwen2.5_7b/AHFSequences_cluster.txt,qwen2.5_7b,278,-130
./results/qwen2.5_7b/AHFSequences_folder.txt,qwen2.5_7b,327,-81
./results/qwen2.5_7b/AllocationTest_cluster.txt,qwen2.5_7b,68,-20
./results/qwen2.5_7b/AllocationTest_folder.txt,qwen2.5_7b,127,39
./results/qwen2.5_7b/AnalysisAnnotation_cluster.txt,qwen2.5_7b,242,95
./results/qwen2.5_7b/AnalysisAnnotation_folder.txt,qwen2.5_7b,115,-32
./results/qwen2.5_7b/Camera_cluster.txt,qwen2.5_7b,75,50
./results/qwen2.5_7b/Camera_folder.txt,qwen2.5_7b,65,40
./results/qwen2.5_7b/DependencyTest_cluster.txt,qwen2.5_7b,53,7
./results/qwen2.5_7b/DependencyTest_folder.txt,qwen2.5_7b,97,51
./results/qwen2.5_7b/EnumerationTest_cluster.txt,qwen2.5_7b,143,-23
./results/qwen2.5_7b/EnumerationTest_folder.txt,qwen2.5_7b,189,23
./results/qwen2.5_7b/Flashlight Example_cluster.txt,qwen2.5_7b,110,-32
./results/qwen2.5_7b/Flashlight Example_folder.txt,qwen2.5_7b,178,36
./results/qwen2.5_7b/PacketUsage_cluster.txt,qwen2.5_7b,36,-12
./results/qwen2.5_7b/PacketUsage_folder.txt,qwen2.5_7b,170,122
./results/qwen2.5_7b/PartTest_cluster.txt,qwen2.5_7b,321,194
./results/qwen2.5_7b/PartTest_folder.txt,qwen2.5_7b,217,90
./results/qwen2.5_7b/ServerSequenceOutsideRealization-3_cluster.txt,qwen2.5_7b,307,-185
./results/qwen2.5_7b/ServerSequenceOutsideRealization-3_folder.txt,qwen2.5_7b,375,-117
./results/qwen2.5_7b/TextualRepresentationTest_cluster.txt,qwen2.5_7b,60,7
./results/qwen2.5_7b/TextualRepresentationTest_folder.txt,qwen2.5_7b,57,4
./results/qwen2.5_7b/TradeStudyTest_cluster.txt,qwen2.5_7b,218,168
./results/qwen2.5_7b/TradeStudyTest_folder.txt,qwen2.5_7b,159,109
./results/qwen2.5_7b/Vehicle Analysis Demo_cluster.txt,qwen2.5_7b,389,-569
./results/qwen2.5_7b/Vehicle Analysis Demo_folder.txt,qwen2.5_7b,436,-522
./results/qwen2.5_7b/Vehicle Decomposition - Updated_cluster.txt,qwen2.5_7b,131,-50
./results/qwen2.5_7b/Vehicle Decomposition - Updated_folder.txt,qwen2.5_7b,154,-27
./results/qwen2.5_7b/VehicleDefinitions_cluster.txt,qwen2.5_7b,205,66
./results/qwen2.5_7b/VehicleDefinitions_folder.txt,qwen2.5_7b,436,297
